"",0,1
0,"180640",0.9885875582695007
1,"035420",0.9909197688102722
2,"004170",0.9932102560997009
3,"006800",0.9934532642364502
4,"039490",0.9940796494483948
5,"323410",0.994326651096344
6,"010130",0.9948460459709167
7,"047040",0.9950974583625793
8,"267250",0.9957201480865479
9,"081660",0.995891273021698
10,"000670",0.9959023594856262
11,"302440",0.9959635138511658
12,"068270",0.9960398077964783
13,"300720",0.9961207509040833
14,"207940",0.9966267943382263
15,"009150",0.9968751072883606
16,"033780",0.996937096118927
17,"192080",0.9969521164894104
18,"034020",0.9971594214439392
19,"008770",0.9972401261329651
20,"003490",0.9973131418228149
21,"375500",0.9974449276924133
22,"026960",0.997585117816925
23,"016360",0.9980934262275696
24,"005930",0.9980972409248352
25,"004800",0.998306930065155
26,"055550",0.9985557198524475
27,"004020",0.9986012578010559
28,"138930",0.9990074038505554
29,"003410",0.999061644077301
30,"069260",0.999519407749176
31,"139130",0.9995713233947754
32,"003850",0.9997937083244324
33,"280360",0.9998707175254822
34,"003550",0.9999465942382812
35,"000720",0.9999968409538269
