"",0,1
0,"336260",0.9870102405548096
1,"013890",0.988803505897522
2,"000150",0.9899272918701172
3,"036570",0.9904900193214417
4,"003670",0.9905279278755188
5,"361610",0.9912029504776001
6,"008730",0.991398274898529
7,"377300",0.9915105104446411
8,"020150",0.9915401339530945
9,"010780",0.9916158318519592
10,"112610",0.9918510317802429
11,"137310",0.9919385313987732
12,"009900",0.9924179315567017
13,"251270",0.9926515817642212
14,"009830",0.9927430748939514
15,"047050",0.9931074380874634
16,"326030",0.9933165907859802
17,"009540",0.9937964081764221
18,"064350",0.993955671787262
19,"016380",0.9939597249031067
20,"005420",0.9939982295036316
21,"010140",0.9942274689674377
22,"241560",0.9945864081382751
23,"001740",0.9949440360069275
24,"006650",0.9954571723937988
25,"028050",0.9955995678901672
26,"005490",0.9957140684127808
27,"005850",0.9959188103675842
28,"012450",0.9959831833839417
29,"008930",0.9960662126541138
30,"329180",0.9964047074317932
31,"032350",0.9964296817779541
32,"006360",0.9966180920600891
33,"035250",0.9966537356376648
34,"000990",0.9967184662818909
35,"284740",0.9967405796051025
36,"020000",0.9969455003738403
37,"114090",0.9970520734786987
38,"010120",0.9971218705177307
39,"002790",0.9972009062767029
40,"001040",0.9972630143165588
41,"192820",0.9972696900367737
42,"031430",0.997340738773346
43,"000660",0.9975470900535583
44,"352820",0.9977172613143921
45,"042670",0.9977390766143799
46,"090430",0.998803436756134
47,"051900",0.9988508224487305
48,"005300",0.9989182353019714
49,"139480",0.9990259408950806
50,"001570",0.9993863701820374
51,"383220",0.9994202852249146
52,"161890",0.9995572566986084
