"",0,1
0,"018880",1.0049827098846436
1,"271560",1.0046557188034058
2,"030200",1.004435658454895
3,"086280",1.0041406154632568
4,"079550",1.0034288167953491
5,"030000",1.0033313035964966
6,"012330",1.002989649772644
7,"017670",1.0029520988464355
8,"001680",1.0028369426727295
9,"001800",1.0022616386413574
10,"032640",1.0021337270736694
11,"005380",1.002081274986267
12,"097950",1.0019862651824951
13,"024110",1.0017775297164917
14,"000120",1.0017597675323486
15,"032830",1.0014630556106567
16,"018260",1.0010380744934082
17,"012750",1.0008944272994995
18,"316140",1.000745177268982
19,"029780",1.000593662261963
20,"028260",1.0005569458007812
21,"005940",1.0005379915237427
22,"105560",1.000473141670227
23,"015760",1.0004653930664062
24,"004000",1.0004494190216064
25,"011070",1.0003336668014526
26,"161390",1.0002799034118652
27,"078930",1.000171184539795
28,"185750",1.0000579357147217
29,"051600",1.0000498294830322
30,"006280",0.9957590103149414
