"",0,1
0,"298050",0.9889193773269653
1,"006400",0.9898878931999207
2,"093370",0.9903338551521301
3,"051910",0.9919049143791199
4,"035720",0.9919688105583191
5,"103140",0.9926959276199341
6,"011790",0.9929648637771606
7,"096770",0.9930080771446228
8,"282330",0.993444561958313
9,"014820",0.9935443997383118
10,"010620",0.9936414361000061
11,"105630",0.9938793778419495
12,"019170",0.9939541220664978
13,"001440",0.994232714176178
14,"057050",0.9945048093795776
15,"271940",0.9946925044059753
16,"373220",0.9950609803199768
17,"272210",0.9955102801322937
18,"381970",0.9955658912658691
19,"014680",0.9956255555152893
20,"298020",0.9957908987998962
21,"069960",0.9959006309509277
22,"004490",0.9961572885513306
23,"034220",0.9964248538017273
24,"005250",0.9965053200721741
25,"020560",0.9965441823005676
26,"000880",0.9966750741004944
27,"011170",0.9971657991409302
28,"036460",0.9973720908164978
29,"071050",0.9976393580436707
30,"128940",0.9978208541870117
31,"066570",0.9979844689369202
32,"000080",0.9980083107948303
33,"259960",0.9983064532279968
34,"178920",0.9983923435211182
35,"175330",0.9984456896781921
36,"001120",0.998452365398407
37,"047810",0.9985173344612122
38,"052690",0.9985566735267639
39,"003240",0.9987421035766602
40,"034730",0.9987567067146301
41,"004990",0.9989789128303528
42,"000240",0.9991536736488342
43,"010950",0.9992051124572754
44,"023530",0.9992629885673523
45,"294870",0.9993331432342529
46,"021240",0.9994069337844849
47,"088350",0.9994458556175232
48,"007310",0.9994543194770813
